figure,force_g,section,signed_offset_mm,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,vs_chance_t,vs_chance_p,vs_chance_sig,vs_75pct_W,vs_75pct_p,vs_75pct_sig,stat_type,term,gee_formula,gee_family,gee_cov_struct,n_obs,coef,se,z_stat,p_value,ci_lo_95,ci_hi_95,significance,W_stat,subject_id,accuracy_pct,n_trials,jnd_mean_mm,jnd_sd_mm,jnd_median_mm,jnd_q1_mm,jnd_q3_mm,jnd_whisker_lo_mm,jnd_whisker_hi_mm,jnd_mm,x50_mm,beta,fit_ok
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P51,80.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P51,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P51,100.000000,1.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,50.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,40.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P52,100.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,100.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,25.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,25.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,66.666700,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,60.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P53,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,50.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,50.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,50.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,100.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P54,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,100.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,57.142900,7.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,0.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,33.333300,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,100.000000,1.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P55,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,100.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,0.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,50.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P56,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,100.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,100.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,75.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,20.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,100.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,33.333300,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P59,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,100.000000,6.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,100.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,100.000000,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,-1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,33.333300,3.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,40.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,60.000000,5.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,100.000000,4.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,subject_data,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60,100.000000,2.000000,,,,,,,,,,,
sd_signed_boxplot_26g_mm,26.000000,jnd,,25.000000,,,,,,,,,,,,,,,,JND group summary,,,,,,,,,,,,,,,,,2.668100,0.745500,2.869100,2.324100,3.000200,1.324100,3.820200,,,,
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P24,,,,,,,,,,2.052100,1.756100,0.589200,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P26,,,,,,,,,,1.324100,1.306500,9.803000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P27,,,,,,,,,,1.220100,0.992200,0.764500,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P28,,,,,,,,,,1.500100,1.482600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P29,,,,,,,,,,1.617100,1.599100,9.947500,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P32,,,,,,,,,,2.867100,2.849900,9.890400,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P34,,,,,,,,,,2.869100,2.851600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P36,,,,,,,,,,2.869100,2.851600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P37,,,,,,,,,,2.324100,2.306800,9.996200,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P40,,,,,,,,,,2.359100,2.341300,9.993200,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P41,,,,,,,,,,3.000200,2.982600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P44,,,,,,,,,,2.869100,2.851600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P45,,,,,,,,,,2.679100,2.636600,4.061900,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P47,,,,,,,,,,2.688100,2.557400,1.337300,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P48,,,,,,,,,,3.052200,2.793400,0.673200,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P49,,,,,,,,,,2.867100,2.849900,9.890400,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P50,,,,,,,,,,3.000200,2.982600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P51,,,,,,,,,,3.132200,3.022100,1.590300,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P52,,,,,,,,,,3.116200,3.098600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P53,,,,,,,,,,2.869100,2.851600,10.000000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P54,,,,,,,,,,2.098100,2.081000,9.999800,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P55,,,,,,,,,,4.537200,4.405600,1.320300,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P56,,,,,,,,,,3.820200,3.675800,1.207600,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P59,,,,,,,,,,2.972100,2.810200,1.077000,True
sd_signed_boxplot_26g_mm,26.000000,jnd,,,,,,,,,,,,,,,,,,JND per subject,,,,,,,,,,,,,,P60,,,,,,,,,,3.000200,2.982600,10.000000,True
